iter	Passed	Remaining
472	1212	325
473	1214	322
474	1216	320
475	1218	317
476	1220	314
477	1221	311
478	1223	309
479	1225	306
480	1226	303
481	1229	300
482	1230	298
483	1232	295
484	1235	292
485	1236	290
486	1238	287
487	1240	284
488	1242	281
489	1244	279
490	1246	276
491	1248	274
492	1250	271
493	1252	268
494	1254	266
495	1256	263
496	1258	260
497	1260	258
498	1262	255
499	1264	252
500	1265	250
501	1267	247
502	1269	244
503	1271	242
504	1272	239
505	1274	236
506	1276	234
507	1278	231
508	1280	228
509	1282	226
510	1284	223
511	1286	221
512	1287	218
513	1289	215
514	1291	213
515	1293	210
516	1295	207
517	1297	205
518	1298	202
519	1300	200
520	1302	197
521	1304	194
522	1306	192
523	1308	189
524	1310	187
525	1311	184
526	1313	181
527	1315	179
528	1317	176
529	1319	174
530	1320	171
531	1322	169
532	1324	166
533	1326	163
534	1328	161
535	1330	158
536	1331	156
537	1333	153
538	1335	151
539	1337	148
540	1339	146
541	1341	143
542	1343	141
543	1345	138
544	1347	136
545	1350	133
546	1352	131
547	1354	128
548	1357	126
549	1359	123
550	1362	121
551	1364	118
552	1366	116
553	1368	113
554	1370	111
555	1373	108
556	1375	106
557	1377	103
558	1379	101
559	1383	98
560	1385	96
561	1387	93
562	1389	91
563	1392	88
564	1394	86
565	1396	83
566	1398	81
567	1400	78
568	1402	76
569	1404	73
570	1406	71
571	1408	68
572	1411	66
573	1413	64
574	1415	61
575	1417	59
576	1419	56
577	1421	54
578	1423	51
579	1425	49
580	1427	46
581	1429	44
582	1431	41
583	1433	39
584	1435	36
585	1437	34
586	1439	31
587	1442	29
588	1444	26
589	1446	24
590	1449	22
591	1451	19
592	1453	17
593	1455	14
594	1457	12
595	1459	9
596	1461	7
597	1463	4
598	1465	2
599	1467	0
