iter	MultiClass
0	1.082432657
1	1.065277683
2	1.049917125
3	1.034098807
4	1.020400327
5	1.007199129
6	0.9955574459
7	0.9847540729
8	0.9745397415
9	0.9646658811
10	0.9560338461
11	0.9472542674
12	0.9396048603
13	0.932620653
14	0.9261758616
15	0.9198439004
16	0.9134272391
17	0.9080645895
18	0.902891435
19	0.8977585743
20	0.8923721463
21	0.8873382895
22	0.8821896935
23	0.8779252512
24	0.8727635166
25	0.8679994626
26	0.8637431899
27	0.8606897926
28	0.8567344809
29	0.8533458631
30	0.849569004
31	0.846191022
32	0.842539422
33	0.8392637922
34	0.836935811
35	0.8335826302
36	0.8304036924
37	0.8276758535
38	0.8250613017
39	0.8231858828
40	0.8201817003
41	0.8176584769
42	0.8149099757
43	0.8124862322
44	0.8093100198
45	0.8068301399
46	0.802625863
47	0.7999366815
48	0.7969748674
49	0.794416806
50	0.7913341383
51	0.7884246738
52	0.7849500286
53	0.7819560713
54	0.7795627499
55	0.7781223597
56	0.7767372797
57	0.7741831525
58	0.7716830922
59	0.7699036338
60	0.7681481418
61	0.7661292259
62	0.7643963485
63	0.7622534453
64	0.7602208502
65	0.7585639397
66	0.7566637771
67	0.7549655096
68	0.7528980751
69	0.7511069785
70	0.7490470491
71	0.7469079402
72	0.7454349096
73	0.7446291571
74	0.742096229
75	0.7409365042
76	0.7381219681
77	0.7367667111
78	0.7342611001
79	0.7327241646
80	0.7306632579
81	0.7297979184
82	0.7276755491
83	0.7248802603
84	0.722908263
85	0.7217166373
86	0.7199712927
87	0.717381242
88	0.7171249837
89	0.7151180107
90	0.7135131872
91	0.7117981279
92	0.7096955111
93	0.7087060297
94	0.7073650805
95	0.7055181734
96	0.7046198731
97	0.7032581806
98	0.7021234194
99	0.7000325677
100	0.6973638773
101	0.695854281
102	0.6945130555
103	0.6925487082
104	0.6911706545
105	0.6900735182
106	0.6882913973
107	0.6870880779
108	0.6865055818
109	0.6851283738
110	0.6829666129
111	0.6813161849
112	0.6797939514
113	0.6785326158
114	0.6774363922
115	0.6750481867
116	0.6738111415
117	0.6723503337
118	0.6711159225
119	0.6698003246
120	0.6680953536
121	0.6658101804
122	0.6644591683
123	0.6627985124
124	0.6616704517
125	0.6606883653
126	0.6589514311
127	0.6579098176
128	0.6561386974
129	0.6537903488
130	0.6528694261
131	0.6511751666
132	0.6486869043
133	0.6474977659
134	0.6458015022
135	0.6436617688
136	0.6422813689
137	0.6410693368
138	0.6392707451
139	0.6366843378
140	0.635573714
141	0.6339545595
142	0.6331136307
143	0.6312852437
144	0.6294680578
145	0.627980998
146	0.6265832714
147	0.625393731
148	0.6236838676
149	0.6220143297
150	0.6200058309
151	0.6183788743
152	0.6165401544
153	0.615610968
154	0.6140632496
155	0.6120983089
156	0.610455649
157	0.6084536363
158	0.6073680692
159	0.6060017092
160	0.6046804853
161	0.6033558335
162	0.6020003682
163	0.600230911
164	0.5985480928
165	0.5964646389
166	0.5947576964
167	0.5928610179
168	0.5910112046
169	0.5892025439
170	0.5874140633
171	0.5858304737
172	0.5849699159
173	0.5832982743
174	0.5816975669
175	0.5804207936
176	0.5788436022
177	0.5773576205
178	0.5762525374
179	0.5747097626
180	0.5736210903
181	0.57145517
182	0.5697858018
183	0.5674622155
184	0.5663218497
185	0.5653567068
186	0.5640913208
187	0.5626445929
188	0.5612604319
189	0.560540462
190	0.5591944955
191	0.5568878424
192	0.555061979
193	0.5529855632
194	0.5515606592
195	0.5502652363
196	0.5484283814
197	0.5469638557
198	0.5459646441
199	0.5444255315
200	0.5426223216
201	0.541195265
202	0.5397580982
203	0.5384415778
204	0.5372296739
205	0.5358407948
206	0.5346869508
207	0.5338174759
208	0.5324084827
209	0.5309391734
210	0.529307541
211	0.5271706296
212	0.5259648813
213	0.5245371532
214	0.5232684537
215	0.5220139044
216	0.5213029304
217	0.5198773619
218	0.5185141531
219	0.5169713672
220	0.51589606
221	0.5144725958
222	0.5132704329
223	0.5121731565
224	0.5109511854
225	0.5097130468
226	0.5079252686
227	0.5068483344
228	0.5051634172
229	0.5030150459
230	0.5015550781
231	0.4997775296
232	0.4984737732
233	0.4969341547
234	0.4960239345
235	0.4946972803
236	0.4934627808
237	0.4926292849
238	0.4916213413
239	0.4910836588
240	0.4896597302
241	0.4886623662
242	0.4878888423
243	0.4864935982
244	0.4849584897
245	0.4838024293
246	0.4822822378
247	0.4812004598
248	0.4796077194
249	0.4777393795
250	0.4764950513
251	0.4757360594
252	0.4743366366
253	0.4732165562
254	0.4720359508
255	0.4708166263
256	0.4702351099
257	0.4691747439
258	0.4677131462
259	0.4664407239
260	0.4651547655
261	0.4633195365
262	0.462342204
263	0.4611077006
264	0.45914071
265	0.4580704275
266	0.457005271
267	0.4558288879
268	0.4546858755
269	0.4531284911
270	0.4524723817
271	0.4516740151
272	0.4504043831
273	0.4493625788
274	0.4482067545
275	0.4475223455
276	0.4464654252
277	0.4451893265
278	0.4437614917
279	0.4429392021
280	0.4417701846
281	0.4409938485
282	0.4398215621
283	0.4391109502
284	0.438303984
285	0.4373851291
286	0.4363475505
287	0.435559256
288	0.4349114635
289	0.4336551745
