iter	MultiClass
290	0.4327382861
291	0.4318950845
292	0.4305544544
293	0.4293781086
294	0.4283682004
295	0.4272244373
296	0.4261271019
297	0.4249849605
298	0.424116768
299	0.4231602051
300	0.4227419944
301	0.4214914657
302	0.4206987422
303	0.4194512736
304	0.4186162541
305	0.4176685482
306	0.4166806144
307	0.415204462
308	0.4138613511
309	0.4129259534
310	0.4120334654
311	0.41087683
312	0.4095250373
313	0.4086919364
314	0.4075219174
315	0.4065648821
316	0.4056792028
317	0.4049776809
318	0.4038400051
319	0.4027213334
320	0.4018264629
321	0.4009232216
322	0.3999704458
323	0.3992409715
324	0.3986648217
325	0.3977903124
326	0.3966172119
327	0.3959887026
328	0.39542597
329	0.3944378542
330	0.3938102526
331	0.3928154829
332	0.3915738433
333	0.3908027806
334	0.3900762414
335	0.3894800693
336	0.3884332699
337	0.3875231155
338	0.3864596129
339	0.3857804919
340	0.3847841664
341	0.3843358758
342	0.3839100524
343	0.3830488547
344	0.3825931646
345	0.3818536531
346	0.3813486351
347	0.380365783
348	0.3793617441
349	0.3787936089
350	0.3779661495
351	0.3772334553
352	0.3765699427
353	0.3757478472
354	0.375218949
355	0.3739578156
356	0.3731348095
357	0.372643996
358	0.3719345301
359	0.3710821142
360	0.37010326
361	0.369442245
362	0.3685932563
363	0.3676027837
364	0.3667405656
365	0.3657725649
366	0.3650391506
367	0.3645170582
368	0.3637267625
369	0.3628394224
370	0.3617513504
371	0.3613088702
372	0.3606015858
373	0.3602637866
374	0.3596721955
375	0.3588755341
376	0.3580818092
377	0.3575843434
378	0.3571600445
379	0.3563080892
380	0.3555268754
381	0.3548807252
382	0.3543869925
383	0.3536553384
384	0.3530151434
385	0.3524240453
386	0.3509359825
387	0.35008531
388	0.3493416212
389	0.3486065121
390	0.3476848631
391	0.3468527272
392	0.3460514448
393	0.3453607795
394	0.344463043
395	0.34397251
396	0.3428343813
397	0.3422017457
398	0.3411552632
399	0.3406981307
400	0.3399202267
401	0.3391049839
402	0.3383645071
403	0.3379613811
404	0.3374293736
405	0.3366695354
406	0.3361683423
407	0.3351587318
408	0.3344486821
409	0.3338332045
410	0.3330666336
411	0.3322616283
412	0.3311760057
413	0.3306474594
414	0.3300740529
415	0.3292758642
416	0.3288526316
417	0.3279630924
418	0.3274236433
419	0.3266753019
420	0.3260184109
421	0.325496409
422	0.3248052007
423	0.3242320475
424	0.3231267514
425	0.3221798596
426	0.321237947
427	0.320798566
428	0.3198625616
429	0.3190027357
430	0.3182024802
431	0.3172112633
432	0.3165000489
433	0.31604289
434	0.3153200508
435	0.3147944252
436	0.3141933443
437	0.3136039595
438	0.3131101351
439	0.3126068456
440	0.3121422882
441	0.3115923963
442	0.3107562503
443	0.3102217887
444	0.3097859069
445	0.3092486142
446	0.3084579126
447	0.3077738787
448	0.3073524423
449	0.3067849644
450	0.3062198074
451	0.3055265707
452	0.3048477544
453	0.3043533826
454	0.3036580436
455	0.3029589712
456	0.3023047923
457	0.3014367213
458	0.3007459218
459	0.3003048501
460	0.2998031356
461	0.2989514129
462	0.2979290936
463	0.2969989371
464	0.2965170716
465	0.2960504705
466	0.2955206593
467	0.2946766663
468	0.2942882903
469	0.2936306929
470	0.293277664
471	0.2928124948
472	0.2922319426
473	0.2916570098
474	0.2911903521
475	0.2905830783
476	0.289721671
477	0.2892385368
478	0.288755725
479	0.2882350325
480	0.2875073722
481	0.2869599005
482	0.2863447327
483	0.2859524756
484	0.2855130307
485	0.2847232344
486	0.2837394975
487	0.283450036
488	0.2829537288
489	0.2825155362
490	0.282141429
491	0.2815724782
492	0.2808268434
493	0.2799805502
494	0.2794833815
495	0.2784554519
496	0.2779854905
497	0.2773438174
498	0.2765707491
499	0.2757602035
500	0.2754250947
501	0.2750749619
502	0.2745117904
503	0.2740117422
504	0.2732306081
505	0.2729227709
506	0.2725930483
507	0.2718950841
508	0.2712679272
509	0.2705704966
510	0.2702134857
511	0.2694008543
512	0.2687300612
513	0.2681397783
514	0.2677263951
515	0.2673917275
516	0.2669510423
517	0.2663212377
518	0.2657408207
519	0.26539533
520	0.2648162962
521	0.2643458742
522	0.2638992831
523	0.2633602788
524	0.2626788535
525	0.2623454646
526	0.2619037949
527	0.2613096454
528	0.2605941567
529	0.2600534368
530	0.2596243793
531	0.2591633558
532	0.2586280314
533	0.258086325
534	0.2573799661
535	0.2568169921
536	0.2562121448
537	0.2555971561
538	0.2550952624
539	0.2544819145
540	0.254027691
541	0.253421772
542	0.2528868907
543	0.2526408707
544	0.25215523
545	0.2516810923
546	0.2511573835
547	0.2508430299
548	0.2503753906
549	0.2498670042
550	0.2494977515
551	0.2490482198
552	0.248624138
553	0.2482181189
554	0.2477899738
555	0.2474073856
556	0.2468367231
557	0.2463247823
558	0.2455146512
559	0.2448890002
560	0.2444260154
561	0.2441318202
562	0.2435598837
563	0.2430760045
564	0.2424229096
565	0.2420608734
566	0.2415064512
567	0.2411264435
568	0.2408311925
569	0.240417219
570	0.2400591506
571	0.2392686905
572	0.2387834904
573	0.2384231631
574	0.2377945728
575	0.2372589581
576	0.2368420086
577	0.2363900717
578	0.2359084811
579	0.2356532692
580	0.2350024999
581	0.2341924856
582	0.2337817366
583	0.2335710635
584	0.2332307055
585	0.233007277
586	0.2327189152
587	0.2325537244
588	0.2322273866
589	0.2318751295
590	0.2316629718
591	0.2312428181
592	0.2307952303
593	0.2303671843
594	0.2299417427
595	0.2294897072
596	0.2291215197
597	0.228489628
598	0.2279768769
599	0.2274631199
